epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1019.96,1.50661,0.52542,0.94068,1.60335,0.000255283,0.000255283,0.000255283
2,2035.09,1.08019,0.5339,0.9322,1.50091,0.000460966,0.000460966,0.000460966
3,3068.99,1.02148,0.54237,0.91525,1.84248,0.000615895,0.000615895,0.000615895
4,3845.46,0.9664,0.58475,0.92373,1.53171,0.000540607,0.000540607,0.000540607
5,4608.44,0.84257,0.5678,0.9661,1.54078,0.000464476,0.000464476,0.000464476
6,5365.94,0.71004,0.60169,0.94068,1.56092,0.000388345,0.000388345,0.000388345
7,31255.9,0.63343,0.59322,0.9322,1.62086,0.000312214,0.000312214,0.000312214
8,32082.1,0.53845,0.66949,0.94068,1.54555,0.000236083,0.000236083,0.000236083
9,32908.5,0.46571,0.61864,0.92373,1.63109,0.000159952,0.000159952,0.000159952
10,33733.1,0.39837,0.63559,0.92373,1.61761,8.3821e-05,8.3821e-05,8.3821e-05
