epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,286.353,1.64943,0.5339,0.87288,1.47585,0.000255283,0.000255283,0.000255283
2,568.601,1.13527,0.50847,0.92373,1.60309,0.000460966,0.000460966,0.000460966
3,855.654,1.03155,0.54237,0.91525,1.54938,0.000615895,0.000615895,0.000615895
4,1108.79,0.95015,0.55932,0.95763,1.52249,0.000540607,0.000540607,0.000540607
5,1355.83,0.84909,0.52542,0.9322,1.70432,0.000464476,0.000464476,0.000464476
6,1608.57,0.74805,0.5339,0.91525,1.70618,0.000388345,0.000388345,0.000388345
7,1870,0.67191,0.55085,0.9322,1.68311,0.000312214,0.000312214,0.000312214
8,2125.72,0.59494,0.52542,0.94068,1.8171,0.000236083,0.000236083,0.000236083
9,2388.78,0.52764,0.54237,0.91525,1.68742,0.000159952,0.000159952,0.000159952
10,2643.73,0.49277,0.55085,0.92373,1.62173,8.3821e-05,8.3821e-05,8.3821e-05
1,273.821,1.64943,0.5339,0.87288,1.47585,0.000255283,0.000255283,0.000255283
2,530.568,1.13527,0.50847,0.92373,1.60309,0.000460966,0.000460966,0.000460966
3,787.186,1.03155,0.54237,0.91525,1.54938,0.000615895,0.000615895,0.000615895
4,1050.8,0.95015,0.55932,0.95763,1.52249,0.000540607,0.000540607,0.000540607
5,1312.88,0.84909,0.52542,0.9322,1.70432,0.000464476,0.000464476,0.000464476
6,1576.56,0.74805,0.5339,0.91525,1.70618,0.000388345,0.000388345,0.000388345
7,1835.03,0.67191,0.55085,0.9322,1.68311,0.000312214,0.000312214,0.000312214
8,2092.39,0.59494,0.52542,0.94068,1.8171,0.000236083,0.000236083,0.000236083
9,2349.77,0.52764,0.54237,0.91525,1.68742,0.000159952,0.000159952,0.000159952
10,2605.13,0.49277,0.55085,0.92373,1.62173,8.3821e-05,8.3821e-05,8.3821e-05
