epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1344.65,1.62474,0.5,0.92373,1.53071,0.000255283,0.000255283,0.000255283
2,2654.03,0.98027,0.5339,0.94068,1.55726,0.000460966,0.000460966,0.000460966
3,3950.6,0.86187,0.50847,0.89831,1.61755,0.000615895,0.000615895,0.000615895
4,5248.19,0.74864,0.62712,0.98305,1.26624,0.000540607,0.000540607,0.000540607
5,6545.29,0.60085,0.5678,0.95763,1.57372,0.000464476,0.000464476,0.000464476
6,7839.41,0.49315,0.63559,0.98305,1.44783,0.000388345,0.000388345,0.000388345
7,9133.71,0.41236,0.61864,0.97458,1.51092,0.000312214,0.000312214,0.000312214
8,10430,0.34255,0.63559,0.9661,1.55649,0.000236083,0.000236083,0.000236083
9,11732.7,0.29105,0.59322,0.97458,1.84114,0.000159952,0.000159952,0.000159952
10,13030,0.26842,0.61864,0.97458,1.68295,8.3821e-05,8.3821e-05,8.3821e-05
