epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,399.173,1.61696,0.49153,0.95763,1.51576,0.000255418,0.000255418,0.000255418
2,828.044,0.99547,0.55085,0.9322,1.51334,0.000461088,0.000461088,0.000461088
1,467.549,1.69713,0.45763,0.89831,1.56571,0.000255283,0.000255283,0.000255283
2,936.118,1.08062,0.54237,0.88136,1.61082,0.000460966,0.000460966,0.000460966
3,1386.22,0.93685,0.59322,0.95763,1.36129,0.000615895,0.000615895,0.000615895
4,1828.58,0.79761,0.60169,0.91525,1.6458,0.000540607,0.000540607,0.000540607
5,2263.7,0.69433,0.52542,0.9322,1.85645,0.000464476,0.000464476,0.000464476
6,2700.4,0.58793,0.52542,0.94915,1.7492,0.000388345,0.000388345,0.000388345
7,3080.43,0.52033,0.55085,0.95763,1.63535,0.000312214,0.000312214,0.000312214
8,3444.23,0.45652,0.5678,0.95763,1.82445,0.000236083,0.000236083,0.000236083
9,3810.92,0.41615,0.5339,0.95763,1.92645,0.000159952,0.000159952,0.000159952
10,4176.28,0.37221,0.55932,0.95763,1.79884,8.3821e-05,8.3821e-05,8.3821e-05
